=== CURRENT SPOT STATUS ===
Last Update: Wed Nov 19 21:40:30 2025
Format: SpotID|Status|Category
A1|Available|PRM
A2|Available|PRM
A3|Available|DIS
A4|Available|DIS
A5|Available|REG
A6|Available|REG
A7|Available|PRM
A8|Available|DIS
A9|Available|DIS
A10|Available|REG
A11|Available|REG
A12|Available|PRM
B1|Available|PRM
B2|Available|PRM
B3|Available|DIS
B4|Available|DIS
B5|Available|REG
B6|Available|REG
B7|Available|PRM
B8|Available|DIS
B9|Available|DIS
B10|Available|REG
B11|Available|REG
B12|Available|PRM
C1|Available|EV 
C2|Available|EV 
C3|Available|DIS
C4|Available|DIS
C5|Available|REG
C6|Available|REG
C7|Available|EV 
C8|Available|DIS
C9|Available|DIS
C10|Available|REG
C11|Available|REG
C12|Available|EV 
D1|Available|EV 
D2|Available|EV 
D3|Available|DIS
D4|Available|DIS
D5|Available|REG
D6|Available|REG
D7|Available|EV 
D8|Available|DIS
D9|Available|DIS
D10|Available|REG
D11|Available|REG
D12|Available|EV 
E1|Available|CMP
E2|Available|LRG
E3|Available|LRG
E4|Available|LRG
E5|Available|FAM
E6|Available|FAM
E7|Available|FAM
E8|Available|FAM
E9|Available|LRG
E10|Available|LRG
E11|Available|LRG
E12|Available|CMP
F1|Available|MC 
F2|Available|CYC
F3|Available|SML
F4|Available|SML
F5|Available|FAM
F6|Available|FAM
F7|Available|FAM
F8|Available|FAM
F9|Available|SML
F10|Available|SML
F11|Available|CYC
F12|Available|MC 
